invoice_id,branch,category,quantity,unit_price,total,payment,rating,date
INV-0037,C,Food,8,290.61,2324.88,Credit card,5.1,2024-09-02
INV-0038,A,Sports,8,335.86,2686.88,Ewallet,5.4,2024-08-23
INV-0039,B,Sports,1,66.29,66.29,Cash,6.0,2024-01-03
INV-0040,A,Sports,9,144.92,1304.28,Ewallet,5.9,2024-05-13
INV-0041,A,Clothing,3,298.19,894.57,Credit card,4.2,2024-06-24
INV-0042,B,Sports,4,282.08,1128.32,Cash,9.0,2024-01-30
INV-0043,A,Beauty,4,404.62,1618.48,Credit card,5.0,2024-05-21
INV-0044,A,Food,2,284.25,568.5,Ewallet,5.0,2024-06-30
INV-0045,A,Sports,2,374.28,748.56,Ewallet,4.8,2024-03-11
INV-0046,C,Clothing,9,52.39,471.51,Ewallet,6.3,2024-06-30
INV-0047,C,Clothing,10,308.05,3080.5,Cash,6.0,2024-01-28
INV-0048,A,Food,7,102.12,714.84,Ewallet,4.7,2024-09-11
INV-0049,C,Sports,1,123.24,123.24,Cash,8.7,2024-04-30
INV-0050,C,Sports,8,369.17,2953.36,Cash,9.3,2024-03-23
INV-0051,B,Clothing,8,192.83,1542.64,Ewallet,4.3,2024-07-22
INV-0052,A,Electronics,5,474.81,2374.05,Cash,9.3,2024-10-11
INV-0053,B,Food,5,70.57,352.85,Cash,4.2,2024-03-24
INV-0054,C,Sports,6,424.82,2548.92,Credit card,8.8,2024-01-18
INV-0055,C,Beauty,5,309.03,1545.15,Cash,8.2,2024-01-10
INV-0056,C,Food,7,215.36,1507.52,Cash,5.0,2024-07-27
INV-0057,B,Electronics,4,128.46,513.84,Cash,9.1,2024-02-18
INV-0058,A,Beauty,1,287.13,287.13,Cash,4.8,2024-04-02
INV-0059,B,Food,1,494.71,494.71,Cash,7.5,2024-08-08
INV-0060,A,Clothing,1,467.01,467.01,Ewallet,6.4,2024-08-16
INV-0061,B,Electronics,3,298.23,894.69,Credit card,4.8,2024-11-09
INV-0062,A,Electronics,6,255.96,1535.76,Ewallet,7.4,2024-04-16
INV-0063,A,Electronics,7,309.58,2167.06,Cash,6.9,2024-05-07
INV-0064,C,Clothing,5,92.24,461.2,Ewallet,8.8,2024-10-05
INV-0065,A,Electronics,4,127.85,511.4,Ewallet,8.2,2024-07-21
INV-0066,B,Sports,9,45.52,409.68,Credit card,8.6,2024-06-20
INV-0067,C,Beauty,4,57.55,230.2,Cash,9.7,2024-08-11
INV-0068,A,Electronics,6,102.92,617.52,Ewallet,5.8,2024-05-17
INV-0069,B,Food,1,292.85,292.85,Cash,8.4,2024-02-28
INV-0070,C,Clothing,6,200.73,1204.38,Credit card,7.2,2024-04-11
INV-0071,A,Beauty,1,472.34,472.34,Credit card,5.4,2024-11-07
INV-0072,B,Electronics,7,18.85,131.95,Credit card,5.5,2024-03-19
INV-0073,A,Electronics,1,24.23,24.23,Cash,6.1,2024-05-11
INV-0074,C,Electronics,1,222.69,222.69,Credit card,4.5,2024-07-08
INV-0075,B,Beauty,7,283.59,1985.13,Ewallet,9.4,2024-05-14
INV-0076,B,Food,6,406.12,2436.72,Ewallet,5.5,2024-01-18
INV-0077,A,Clothing,5,169.77,848.85,Credit card,9.3,2024-11-14
INV-0078,C,Sports,4,114.2,456.8,Credit card,7.1,2024-11-04
INV-0079,A,Food,2,390.59,781.18,Ewallet,4.1,2024-09-10
INV-0080,B,Beauty,7,399.07,2793.49,Ewallet,10.0,2024-11-05
INV-0081,B,Sports,2,458.91,917.82,Cash,4.4,2024-05-23
INV-0082,C,Beauty,8,175.86,1406.88,Cash,8.2,2024-01-25
INV-0083,B,Sports,2,320.78,641.56,Cash,6.5,2024-12-05
INV-0084,A,Sports,10,18.68,186.8,Credit card,5.3,2024-12-07
INV-0085,B,Electronics,1,498.67,498.67,Cash,9.0,2024-12-19
INV-0086,A,Food,3,355.78,1067.34,Credit card,9.1,2024-08-02
INV-0087,C,Beauty,2,48.07,96.14,Credit card,5.5,2024-03-22
INV-0088,C,Food,2,27.21,54.42,Cash,5.5,2024-07-19
INV-0089,A,Clothing,5,302.89,1514.45,Ewallet,5.8,2024-08-17
INV-0090,A,Food,9,133.95,1205.55,Credit card,5.7,2024-04-07
INV-0091,C,Food,9,73.09,657.81,Cash,7.7,2024-11-04
INV-0092,B,Sports,2,121.13,242.26,Cash,7.4,2024-06-21
INV-0093,A,Beauty,10,398.78,3987.8,Credit card,4.5,2024-08-22
INV-0094,A,Electronics,2,12.35,24.7,Cash,5.8,2024-02-28
INV-0095,A,Clothing,5,356.96,1784.8,Ewallet,8.1,2024-04-07
INV-0096,A,Electronics,10,64.66,646.6,Cash,5.8,2024-06-20
INV-0097,B,Sports,1,227.07,227.07,Credit card,7.3,2024-06-27
INV-0098,C,Clothing,6,74.05,444.3,Credit card,8.2,2024-10-10
INV-0099,C,Clothing,4,407.37,1629.48,Ewallet,7.6,2024-08-31
INV-0100,A,Clothing,10,180.3,1803.0,Ewallet,7.1,2024-09-30
INV-0101,C,Food,1,18.04,18.04,Credit card,4.9,2024-08-11
INV-0102,C,Electronics,2,271.63,543.26,Ewallet,5.8,2024-07-04
INV-0103,C,Clothing,9,171.16,1540.44,Cash,8.4,2024-05-31
INV-0104,C,Electronics,6,217.58,1305.48,Cash,4.2,2024-11-17
INV-0105,C,Electronics,8,201.59,1612.72,Ewallet,6.3,2024-10-30
INV-0106,A,Beauty,5,61.49,307.45,Credit card,4.8,2024-05-14
INV-0107,B,Electronics,1,190.19,190.19,Ewallet,5.4,2024-03-04
INV-0108,B,Sports,5,497.05,2485.25,Credit card,9.4,2024-03-10
INV-0109,C,Clothing,5,485.34,2426.7,Cash,7.3,2024-09-30
INV-0110,C,Food,3,131.0,393.0,Ewallet,4.8,2024-06-04
INV-0111,B,Beauty,7,55.31,387.17,Cash,9.4,2024-04-26
INV-0112,B,Beauty,2,254.9,509.8,Cash,8.7,2024-01-20
INV-0113,A,Clothing,8,407.5,3260.0,Credit card,7.4,2024-03-07
INV-0114,A,Food,9,488.81,4399.29,Cash,9.0,2024-01-08
INV-0115,B,Beauty,4,325.18,1300.72,Credit card,7.8,2024-01-02
INV-0116,A,Clothing,1,307.5,307.5,Ewallet,6.6,2024-03-05
INV-0117,C,Sports,8,151.37,1210.96,Cash,8.6,2024-01-17
INV-0118,C,Food,1,316.35,316.35,Cash,7.4,2024-07-09
INV-0119,B,Beauty,3,149.27,447.81,Ewallet,9.3,2024-12-19
INV-0120,B,Electronics,6,292.25,1753.5,Ewallet,9.0,2024-12-07
INV-0121,B,Beauty,5,97.0,485.0,Credit card,9.0,2024-07-18
INV-0122,B,Beauty,5,479.43,2397.15,Credit card,4.0,2024-03-29
INV-0123,C,Electronics,5,123.58,617.9,Ewallet,9.0,2024-03-22
INV-0124,B,Sports,4,156.88,627.52,Credit card,6.2,2024-03-23
INV-0125,A,Food,6,393.47,2360.82,Cash,7.3,2024-08-25
INV-0126,C,Food,8,318.62,2548.96,Ewallet,5.1,2024-10-17
INV-0127,B,Clothing,10,33.64,336.4,Ewallet,8.0,2024-03-19
INV-0128,C,Beauty,4,255.07,1020.28,Credit card,9.9,2024-08-04
INV-0129,A,Sports,6,170.96,1025.76,Ewallet,4.4,2024-04-24
INV-0130,A,Clothing,7,86.78,607.46,Ewallet,6.4,2024-04-27
INV-0131,C,Food,2,100.43,200.86,Cash,4.5,2024-08-29
INV-0132,B,Beauty,4,367.25,1469.0,Credit card,6.0,2024-01-04
INV-0133,B,Clothing,9,496.32,4466.88,Ewallet,9.2,2024-08-10
INV-0134,A,Food,5,370.99,1854.95,Ewallet,9.5,2024-09-03
INV-0135,A,Sports,6,348.64,2091.84,Credit card,9.9,2024-08-25
INV-0136,B,Clothing,8,346.45,2771.6,Ewallet,7.6,2024-10-01
INV-0137,A,Beauty,10,237.35,2373.5,Credit card,4.2,2024-12-11
INV-0138,B,Beauty,4,69.44,277.76,Cash,6.3,2024-06-09
INV-0139,A,Electronics,4,71.93,287.72,Ewallet,6.6,2024-10-03
INV-0140,C,Electronics,2,71.9,143.8,Cash,4.8,2024-04-22
INV-0141,A,Food,1,179.5,179.5,Cash,8.6,2024-01-20
INV-0142,A,Clothing,4,470.36,1881.44,Cash,7.1,2024-01-04
INV-0143,B,Clothing,8,139.53,1116.24,Credit card,6.1,2024-06-21
INV-0144,B,Clothing,5,18.52,92.6,Cash,5.0,2024-01-22
INV-0145,B,Clothing,7,457.92,3205.44,Credit card,6.0,2024-12-28
INV-0146,C,Beauty,6,330.42,1982.52,Credit card,7.9,2024-01-08
INV-0147,C,Beauty,1,134.95,134.95,Cash,6.0,2024-01-15
INV-0148,C,Beauty,6,348.1,2088.6,Cash,5.0,2024-07-02
INV-0149,B,Food,10,176.15,1761.5,Credit card,9.5,2024-05-15
INV-0150,A,Beauty,3,305.49,916.47,Ewallet,5.9,2024-10-02
INV-0151,A,Electronics,2,337.44,674.88,Cash,8.1,2024-02-27
INV-0152,A,Food,7,432.41,3026.87,Cash,4.3,2024-03-08
INV-0153,B,Sports,5,403.47,2017.35,Cash,9.1,2024-01-04
INV-0154,B,Food,6,103.43,620.58,Credit card,8.4,2024-04-01
INV-0155,C,Clothing,10,394.21,3942.1,Cash,7.9,2024-03-20
INV-0156,B,Electronics,5,493.66,2468.3,Cash,4.4,2024-05-27
INV-0157,B,Food,10,136.85,1368.5,Cash,4.4,2024-05-09
INV-0158,A,Beauty,2,414.19,828.38,Ewallet,5.1,2024-11-22
INV-0159,B,Sports,4,165.19,660.76,Credit card,4.8,2024-11-11
INV-0160,C,Clothing,4,465.56,1862.24,Credit card,5.7,2024-04-10
INV-0161,B,Beauty,4,445.45,1781.8,Ewallet,4.2,2024-04-21
INV-0162,A,Food,8,394.6,3156.8,Cash,7.3,2024-01-20
INV-0163,B,Clothing,1,494.7,494.7,Credit card,4.1,2024-02-14
INV-0164,A,Clothing,1,131.92,131.92,Cash,4.4,2024-01-10
INV-0165,A,Food,6,391.83,2350.98,Credit card,6.3,2024-01-25
INV-0166,C,Beauty,3,239.89,719.67,Credit card,5.9,2024-02-09
INV-0167,C,Food,3,347.61,1042.83,Credit card,7.6,2024-11-22
INV-0168,C,Clothing,4,31.82,127.28,Credit card,8.5,2024-04-30
INV-0169,C,Sports,8,64.25,514.0,Credit card,8.5,2024-03-04
INV-0170,A,Electronics,3,245.44,736.32,Cash,5.2,2024-03-28
INV-0171,B,Beauty,2,298.11,596.22,Cash,8.7,2024-04-16
INV-0172,C,Sports,9,18.84,169.56,Credit card,8.1,2024-08-20
INV-0173,B,Sports,5,374.6,1873.0,Ewallet,6.6,2024-10-13
INV-0174,B,Beauty,9,178.69,1608.21,Cash,8.8,2024-11-07
INV-0175,C,Electronics,3,43.49,130.47,Cash,5.0,2024-04-30
INV-0176,B,Sports,3,266.49,799.47,Ewallet,5.7,2024-01-09
INV-0177,B,Food,7,101.04,707.28,Ewallet,4.3,2024-11-03
INV-0178,B,Clothing,9,375.88,3382.92,Cash,9.7,2024-11-18
INV-0179,B,Beauty,6,288.7,1732.2,Cash,6.1,2024-12-10
INV-0180,B,Clothing,4,337.35,1349.4,Cash,7.7,2024-10-30
INV-0181,A,Electronics,8,352.13,2817.04,Credit card,5.7,2024-05-11
INV-0182,C,Beauty,3,115.37,346.11,Credit card,8.5,2024-09-24
INV-0183,B,Beauty,5,18.63,93.15,Cash,8.6,2024-07-12
INV-0184,C,Clothing,10,272.97,2729.7,Cash,4.8,2024-09-19
INV-0185,B,Sports,10,99.03,990.3,Cash,4.9,2024-01-13
INV-0186,C,Sports,2,246.11,492.22,Credit card,5.8,2024-09-15
INV-0187,C,Beauty,10,439.88,4398.8,Credit card,10.0,2024-11-09
INV-0188,C,Electronics,8,293.39,2347.12,Ewallet,6.2,2024-06-25
INV-0189,A,Food,2,347.98,695.96,Ewallet,9.7,2024-03-23
INV-0190,A,Clothing,5,449.31,2246.55,Cash,7.4,2024-01-23
INV-0191,C,Food,4,197.57,790.28,Credit card,9.0,2024-01-30
INV-0192,A,Clothing,4,298.98,1195.92,Credit card,5.1,2024-08-11
INV-0193,B,Sports,3,112.55,337.65,Credit card,8.9,2024-02-12
INV-0194,A,Electronics,6,394.59,2367.54,Cash,9.0,2024-02-09
INV-0195,B,Electronics,7,131.02,917.14,Credit card,5.2,2024-10-13
INV-0196,C,Food,10,221.55,2215.5,Ewallet,6.0,2024-03-28
INV-0197,A,Beauty,3,374.21,1122.63,Credit card,6.8,2024-05-09
INV-0198,C,Food,7,181.82,1272.74,Ewallet,4.3,2024-09-08
INV-0199,C,Sports,9,20.52,184.68,Credit card,7.2,2024-12-11
INV-0200,C,Clothing,2,226.41,452.82,Credit card,6.9,2024-04-06
INV-0201,C,Clothing,2,131.6,263.2,Credit card,5.0,2024-11-28
INV-0202,C,Clothing,6,197.63,1185.78,Ewallet,6.1,2024-02-02
INV-0203,A,Sports,10,320.25,3202.5,Cash,6.5,2024-07-25
INV-0204,C,Clothing,1,449.01,449.01,Credit card,5.2,2024-07-05
INV-0205,B,Electronics,4,241.56,966.24,Credit card,7.7,2024-07-19
INV-0206,C,Clothing,1,46.14,46.14,Ewallet,4.3,2024-06-11
INV-0207,C,Sports,5,236.96,1184.8,Cash,6.8,2024-03-21
INV-0208,A,Food,7,170.99,1196.93,Ewallet,5.6,2024-09-02
INV-0209,B,Sports,10,299.28,2992.8,Cash,5.2,2024-02-14
INV-0210,A,Beauty,9,85.26,767.34,Ewallet,8.7,2024-06-18
INV-0211,B,Electronics,8,255.04,2040.32,Ewallet,7.6,2024-11-15
INV-0212,A,Clothing,1,378.14,378.14,Credit card,5.4,2024-04-25
INV-0213,A,Food,3,323.63,970.89,Credit card,5.7,2024-08-28
INV-0214,B,Clothing,7,226.88,1588.16,Cash,7.1,2024-11-22
INV-0215,A,Electronics,6,121.12,726.72,Credit card,4.1,2024-12-18
INV-0216,B,Clothing,7,261.28,1828.96,Ewallet,6.6,2024-07-13
INV-0217,A,Food,4,386.18,1544.72,Credit card,7.5,2024-03-25
INV-0218,A,Sports,3,383.55,1150.65,Ewallet,6.1,2024-01-19
INV-0219,A,Food,5,444.75,2223.75,Ewallet,4.5,2024-12-02
INV-0220,A,Electronics,5,57.59,287.95,Ewallet,9.2,2024-09-24
INV-0221,B,Electronics,5,257.3,1286.5,Cash,4.9,2024-03-10
INV-0222,C,Food,2,169.65,339.3,Credit card,9.3,2024-08-08
INV-0223,C,Electronics,4,440.95,1763.8,Credit card,8.2,2024-06-25
INV-0224,B,Sports,10,142.0,1420.0,Ewallet,4.7,2024-01-08
INV-0225,A,Clothing,10,29.5,295.0,Credit card,7.1,2024-09-26
INV-0226,B,Clothing,10,322.27,3222.7,Ewallet,6.7,2024-04-11
INV-0227,B,Beauty,10,175.03,1750.3,Cash,4.0,2024-10-28
INV-0228,A,Electronics,6,203.06,1218.36,Credit card,5.8,2024-02-16
INV-0229,B,Clothing,10,35.28,352.8,Ewallet,6.0,2024-04-09
INV-0230,A,Clothing,4,359.23,1436.92,Cash,4.3,2024-01-24
INV-0231,B,Electronics,6,24.76,148.56,Credit card,5.6,2024-07-08
INV-0232,B,Clothing,9,119.58,1076.22,Cash,8.5,2024-10-24
INV-0233,A,Food,4,445.79,1783.16,Credit card,9.7,2024-01-01
INV-0234,C,Electronics,2,308.38,616.76,Cash,9.5,2024-12-05
INV-0235,C,Beauty,3,119.61,358.83,Cash,8.9,2024-05-07
INV-0236,B,Food,8,444.44,3555.52,Cash,5.5,2024-04-13
INV-0237,B,Beauty,5,197.65,988.25,Credit card,6.9,2024-11-04
INV-0238,B,Sports,9,117.8,1060.2,Ewallet,7.8,2024-03-12
INV-0239,C,Food,4,293.69,1174.76,Credit card,9.2,2024-05-15
INV-0240,B,Beauty,9,154.25,1388.25,Credit card,5.2,2024-03-30
INV-0241,B,Food,2,155.78,311.56,Credit card,8.0,2024-04-09
INV-0242,B,Beauty,2,206.45,412.9,Cash,9.9,2024-10-31
INV-0243,C,Beauty,4,36.23,144.92,Credit card,7.5,2024-12-16
INV-0244,A,Sports,4,26.9,107.6,Credit card,7.0,2024-04-28
INV-0245,B,Sports,5,128.3,641.5,Ewallet,9.9,2024-10-24
INV-0246,B,Beauty,2,57.82,115.64,Cash,9.3,2024-04-14
INV-0247,A,Sports,4,332.04,1328.16,Cash,7.3,2024-09-16
INV-0248,A,Clothing,6,83.59,501.54,Cash,6.2,2024-05-15
INV-0249,B,Electronics,2,105.14,210.28,Ewallet,5.8,2024-11-16
INV-0250,B,Clothing,6,151.56,909.36,Ewallet,4.5,2024-07-25
INV-0251,B,Electronics,6,312.37,1874.22,Ewallet,9.3,2024-06-30
INV-0252,B,Clothing,3,418.03,1254.09,Credit card,6.1,2024-07-23
INV-0253,B,Clothing,8,241.6,1932.8,Credit card,7.7,2024-08-11
INV-0254,A,Clothing,10,246.55,2465.5,Cash,7.5,2024-03-20
INV-0255,B,Beauty,5,92.95,464.75,Ewallet,6.3,2024-01-08
INV-0256,A,Sports,5,30.15,150.75,Ewallet,4.0,2024-08-05
INV-0257,C,Beauty,5,301.96,1509.8,Credit card,4.7,2024-11-19
INV-0258,B,Clothing,8,396.56,3172.48,Credit card,5.3,2024-03-08
INV-0259,B,Electronics,8,10.39,83.12,Cash,10.0,2024-01-25
INV-0260,C,Beauty,3,25.73,77.19,Cash,5.9,2024-12-20
INV-0261,C,Clothing,6,334.34,2006.04,Credit card,9.2,2024-03-02
INV-0262,A,Sports,5,358.11,1790.55,Credit card,9.8,2024-03-11
INV-0263,A,Food,10,348.16,3481.6,Credit card,6.8,2024-12-12
INV-0264,A,Sports,3,233.67,701.01,Cash,6.4,2024-03-27
INV-0265,C,Electronics,8,201.95,1615.6,Credit card,9.1,2024-01-14
INV-0266,C,Clothing,5,131.67,658.35,Credit card,8.7,2024-01-30
INV-0267,C,Sports,9,351.56,3164.04,Ewallet,5.9,2024-11-01
INV-0268,A,Sports,1,464.12,464.12,Credit card,5.8,2024-03-29
INV-0269,C,Food,2,59.51,119.02,Ewallet,6.3,2024-05-20
INV-0270,B,Clothing,9,106.91,962.19,Credit card,8.5,2024-09-15
INV-0271,B,Electronics,3,283.8,851.4,Credit card,8.2,2024-01-14
INV-0272,A,Beauty,9,341.78,3076.02,Ewallet,6.3,2024-07-18
INV-0273,B,Clothing,2,75.46,150.92,Ewallet,6.5,2024-10-19
INV-0274,A,Electronics,4,181.56,726.24,Cash,5.7,2024-12-12
INV-0275,C,Clothing,10,202.85,2028.5,Credit card,9.5,2024-08-02
INV-0276,B,Electronics,9,401.19,3610.71,Cash,8.2,2024-01-21
INV-0277,B,Electronics,3,26.8,80.4,Cash,5.9,2024-04-15
INV-0278,A,Food,7,103.0,721.0,Cash,8.6,2024-04-03
INV-0279,C,Beauty,2,474.17,948.34,Cash,6.9,2024-05-04
INV-0280,A,Beauty,6,255.79,1534.74,Ewallet,4.9,2024-03-09
INV-0281,C,Electronics,5,249.88,1249.4,Credit card,4.6,2024-05-03
INV-0282,C,Food,1,279.57,279.57,Cash,6.4,2024-02-12
INV-0283,A,Beauty,4,270.17,1080.68,Cash,5.4,2024-10-01
INV-0284,A,Beauty,2,423.76,847.52,Ewallet,6.2,2024-08-20
INV-0285,B,Electronics,2,430.65,861.3,Credit card,4.1,2024-08-16
INV-0286,C,Beauty,6,123.73,742.38,Credit card,9.1,2024-08-13
INV-0287,C,Beauty,7,64.4,450.8,Cash,4.8,2024-02-03
INV-0288,B,Sports,3,168.51,505.53,Ewallet,9.8,2024-11-25
INV-0289,A,Food,1,178.39,178.39,Ewallet,5.5,2024-01-07
INV-0290,C,Electronics,5,245.42,1227.1,Credit card,5.0,2024-11-30
INV-0291,C,Beauty,10,103.52,1035.2,Ewallet,8.0,2024-05-27
INV-0292,A,Electronics,1,406.6,406.6,Credit card,8.8,2024-10-21
INV-0293,C,Sports,6,18.17,109.02,Credit card,9.0,2024-01-13
INV-0294,B,Food,6,356.18,2137.08,Credit card,5.3,2024-08-03
INV-0295,B,Food,1,101.12,101.12,Credit card,7.7,2024-07-23
INV-0296,B,Beauty,3,427.92,1283.76,Ewallet,6.9,2024-06-10
INV-0297,C,Beauty,8,417.92,3343.36,Credit card,6.2,2024-04-05
INV-0298,C,Electronics,3,26.45,79.35,Ewallet,7.4,2024-05-02
INV-0299,A,Beauty,2,401.38,802.76,Credit card,5.6,2024-01-20
INV-0300,B,Food,3,499.55,1498.65,Ewallet,5.6,2024-03-01
INV-0301,B,Beauty,10,309.32,3093.2,Cash,6.4,2024-01-06
INV-0302,B,Clothing,1,428.75,428.75,Cash,4.7,2024-01-28
INV-0303,C,Beauty,1,263.26,263.26,Ewallet,9.8,2024-11-24
INV-0304,B,Sports,2,35.83,71.66,Credit card,9.0,2024-03-27
INV-0305,C,Clothing,5,347.46,1737.3,Ewallet,4.6,2024-08-18
INV-0306,C,Sports,1,105.65,105.65,Cash,8.8,2024-09-26
INV-0307,C,Clothing,2,186.79,373.58,Cash,8.0,2024-02-17
INV-0308,B,Beauty,1,272.39,272.39,Credit card,4.2,2024-02-12
INV-0309,B,Food,2,413.44,826.88,Cash,8.9,2024-09-05
INV-0310,A,Clothing,4,421.56,1686.24,Cash,7.3,2024-01-06
INV-0311,A,Food,9,120.5,1084.5,Ewallet,9.2,2024-09-04
INV-0312,A,Sports,8,258.01,2064.08,Ewallet,8.9,2024-03-02
INV-0313,A,Sports,6,283.24,1699.44,Credit card,6.5,2024-04-06
INV-0314,B,Electronics,1,262.53,262.53,Cash,6.0,2024-04-01
INV-0315,B,Sports,6,333.92,2003.52,Credit card,7.9,2024-10-31
INV-0316,C,Electronics,3,118.55,355.65,Cash,7.6,2024-12-11
INV-0317,C,Food,4,284.93,1139.72,Ewallet,7.3,2024-11-26
INV-0318,B,Clothing,7,433.15,3032.05,Credit card,7.0,2024-06-19
INV-0319,B,Food,8,425.13,3401.04,Credit card,7.3,2024-12-12
INV-0320,A,Food,10,114.67,1146.7,Credit card,8.8,2024-08-08
INV-0321,B,Electronics,8,143.43,1147.44,Cash,8.6,2024-08-28
INV-0322,C,Clothing,7,281.41,1969.87,Credit card,7.1,2024-05-10
INV-0323,B,Food,7,442.42,3096.94,Ewallet,6.1,2024-03-11
INV-0324,C,Clothing,3,478.75,1436.25,Credit card,7.3,2024-11-14
INV-0325,A,Sports,3,230.86,692.58,Cash,7.3,2024-05-31
INV-0326,C,Electronics,10,39.89,398.9,Credit card,7.9,2024-10-09
INV-0327,B,Beauty,9,291.34,2622.06,Cash,9.6,2024-03-30
INV-0328,A,Food,2,300.48,600.96,Credit card,9.5,2024-06-27
INV-0329,A,Clothing,1,469.55,469.55,Ewallet,4.9,2024-05-06
INV-0330,B,Sports,6,487.55,2925.3,Ewallet,9.3,2024-04-05
INV-0331,B,Sports,2,46.17,92.34,Credit card,5.7,2024-01-01
INV-0332,B,Beauty,6,120.29,721.74,Credit card,5.2,2024-05-30
INV-0333,B,Clothing,9,252.88,2275.92,Cash,9.4,2024-09-12
INV-0334,B,Clothing,9,99.17,892.53,Credit card,8.9,2024-04-03
INV-0335,B,Electronics,8,47.69,381.52,Ewallet,8.6,2024-09-26
INV-0336,C,Food,9,270.71,2436.39,Credit card,6.6,2024-08-05
INV-0337,C,Clothing,2,81.53,163.06,Ewallet,8.8,2024-04-22
INV-0338,B,Sports,10,124.7,1247.0,Credit card,9.8,2024-12-28
INV-0339,C,Clothing,5,124.2,621.0,Credit card,6.8,2024-06-12
INV-0340,B,Electronics,5,131.88,659.4,Cash,9.5,2024-11-17
INV-0341,A,Clothing,7,395.76,2770.32,Credit card,6.4,2024-10-06
INV-0342,B,Food,1,284.61,284.61,Cash,8.8,2024-03-21
INV-0343,A,Electronics,9,301.29,2711.61,Credit card,9.7,2024-06-04
INV-0344,C,Sports,6,35.44,212.64,Credit card,6.0,2024-03-20
INV-0345,B,Beauty,3,290.19,870.57,Ewallet,6.6,2024-02-14
INV-0346,C,Beauty,9,396.13,3565.17,Cash,5.4,2024-05-30
INV-0347,C,Sports,9,464.89,4184.01,Cash,7.7,2024-07-30
INV-0348,C,Electronics,8,349.01,2792.08,Cash,7.4,2024-01-25
INV-0349,B,Electronics,1,415.6,415.6,Cash,6.5,2024-11-07
INV-0350,A,Beauty,2,40.95,81.9,Cash,6.7,2024-11-10
INV-0351,B,Sports,5,143.78,718.9,Credit card,9.0,2024-06-19
INV-0352,C,Beauty,9,134.85,1213.65,Credit card,6.7,2024-01-21
INV-0353,B,Electronics,1,451.1,451.1,Ewallet,6.4,2024-02-15
INV-0354,C,Beauty,10,421.78,4217.8,Cash,5.2,2024-01-05
INV-0355,A,Sports,10,45.11,451.1,Ewallet,6.5,2024-02-18
INV-0356,B,Sports,10,171.21,1712.1,Credit card,6.9,2024-12-03
INV-0357,A,Clothing,1,81.1,81.1,Credit card,4.5,2024-11-06
INV-0358,C,Sports,7,320.58,2244.06,Ewallet,8.5,2024-05-26
